시도,구군,행정구역명,시설명,소재지,시설용량,물리적 용량,생물학적 용량,고도 용량,유입하수량,물리적 유입하수량,생물학적 유입하수량,고도 유입하수량,방류량,물리적 방류량,생물학적 방류량,고도 방류량,유입_생화학적 산소요구량(BOD),방류_생화학적 산소요구량(BOD),유입_총유기탄소(TOC),방류_총유기탄소(TOC),유입_부유물질량(SS),방류_부유물질량(SS),유입_총질소(T-N),방류_총질소(T-N),유입_총인(T-P),방류_총인(T-P),유입총대장균군수,방류총대장균군수,처리효율,처리부하량,처리방법,적용신기술,연계처리량_분뇨,연계처리량_축산,연계처리량_침출수,연계처리량_기타,준공일,가동개시일,사업비(백만원),방류수소독방법,수계,지류,세부단위구역,지역구분,명칭,목표수질_생화학적 산소요구량(BOD),에너지자립율,에너지자체생산량,연간 총 에너지 사용량_계_(TOE),연간 총 에너지 사용량_총 전력사용량(kWh),연간 총 에너지 사용량_자체 에너지사용량(TOE),하수처리량당 이산화탄소(CO2)배출량,운영주체,위탁 업체명,위탁비용,위탁계약기간(시작),위탁계약기간(종료),직원총수(명),안전사고건수
서울특별시,,서울특별시,난지,경기도 고양시 덕양구 현천동 692-2 ,860000,0,0,860000,608797.7,0,0,608797.7,622241.3,0,0,622241.3,117.5,2.4,72.6,4.6,77.3,3.4,29.764,12.219,2.851,0.146,185445,341,98,70103.1,"중력침전법,표준활성슬러지법,MLE,A2O",,3317.8,0,628.4,156.4,1987-06-30,1987-06-30,219247,염소 ,한강,한강,한강본류,500톤 이상(Ⅲ지역),한강서울,Ⅱ,34.4,9554.9,27741.6,79417785,9554.9,0.16,자체,,0,,,0,0
서울특별시,성동구,성동구,중랑물재생센터,서울특별시 성동구 용답동 247-6 ,1590000,0,100000,1490000,1282331.8,0,112423.4,1169908.4,1154369.3,0,112423.4,1041945.9,147.1,6.9,65.7,5.5,106.1,5.1,35.051,15.038,4.348,0.321,113173,604,95.3,179765.4,"표준활성슬러지법,A2O,MLE,SBAF",,4636.1,0,3.5,230,1976-09-21,1976-09-21,334485,염소 자외선 오존 ,한강,중랑천,한강본류,500톤 이상(Ⅲ지역),한강서울,Ⅱ,23.1,12668.1,54907.8,184452848,12668.1,0.201,자체,,0,,,0,0
서울특별시,강서구,강서구,서남,서울특별시 강서구 마곡동 74 ,1630000,0,120000,1510000,1481834.8,0,120000,1361834.8,1481834.8,0,120000,1361834.8,120.9,4.9,83.5,4.5,111.1,2.8,30.137,12.503,3.637,0.234,236284,236,95.9,171808.5,"기타,표준활성슬러지법,MLE,4 stage-BNR",,4046.8,0,12.6,229.2,1987-06-30,1987-03-01,1683134,염소 ,한강,한강,한강본류,500톤 이상(Ⅲ지역),한강서울,Ⅱ,40,31711.7,79267.3,207666471,31711.7,0.176,공기업,서울물재생시설공단,143541.2,2024-01-01,2028-12-31,173,0
서울특별시,강남구,강남구,탄천,서울특별시 강남구 일원동 580 ,900000,0,0,900000,741285.5,0,0,741285.5,741285.5,0,0,741285.5,101.5,4.5,78,6.4,129.5,4.6,35.152,9.883,3.611,0.174,139098,342,95.6,71929.9,"표준활성슬러지법,MLE,가압부상",,55.9,0,5.6,0,1987-12-09,1987-12-09,458247,염소 ,한강,탄천,한강본류,500톤 이상(Ⅲ지역),한강서울,Ⅱ,34.7,11161.9,32197.5,91858510,11161.9,0.156,공기업,서울물재생시설공단,71806.3,2024-01-01,2028-12-31,107,0
부산광역시,서구,서구,중앙,부산광역시 서구 암남동 704-1 ,120000,0,0,120000,55699.4,0,0,55699.4,54333.4,0,0,54333.4,102.7,3.9,44.9,4.7,110.2,2.8,28.344,7.16,3.29,0.594,130923,670,96.2,5503,BIOFOR,,0,0,0,1164,2005-12-31,2006-01-01,160300,자외선 ,낙동강,낙동강,남해동부,500톤 이상(Ⅳ지역),낙동강남해,Ⅳ,2.6,48,1857.2,7900233,48,0.183,공기업,부산환경공단,5751.7,2022-01-01,2026-12-31,22,0
부산광역시,영도구,영도구,영도,부산광역시 영도구 동삼동 175-2 ,95000,0,0,95000,38573.7,0,0,38573.7,33572.4,0,0,33572.4,140.5,2.4,50.9,4.7,169.8,1.5,31.545,7.266,4.104,0.656,224240,512,98.3,5327.5,KSBNR,"건설교통부 신기술 지정 제210호, 환경부신기술 검증 제59호/지정 제78호",0,0,0,0,2005-12-31,2006-01-01,79572,자외선 ,낙동강,낙동강,동부경남,500톤 이상(Ⅳ지역),수영강,Ⅰb,0,0,980.5,4281723,0,0.16,공기업,부산환경공단,5333,2021-01-01,2026-12-31,24,0
부산광역시,동래구,동래구,수영,부산광역시 동래구 온천천남로 185   부산광역시 동래구 안락동 1108,452000,0,122000,330000,360315.4,0,91477,268838.4,347911.1,0,88328.1,259583,185.2,7.5,78.5,5.4,193.2,2.7,38.875,7.771,4.089,0.486,552137,348,96,64061.2,"표준활성슬러지법,MLE,MBR",,0,0,0,70.3,1988-04-30,1988-04-30,465100,염소 자외선 ,낙동강,수영강,동부경남,500톤 이상(Ⅳ지역),낙동밀양,Ⅱ,27.9,4059.3,14543.6,45782905,4059.3,0.165,공기업,부산환경공단,22086.7,2022-01-01,2026-12-31,56,0
부산광역시,남구,남구,남부,부산광역시 남구 용호동 12 ,340000,0,0,340000,333515,0,0,333515,312135.9,0,0,312135.9,145.3,4.6,76.1,5.6,157.8,2.5,36.861,7.897,3.962,0.509,244156,202,96.8,46909,"표준활성슬러지법,MBR,MLE",,0,0,0,0,1996-06-05,1996-06-05,291700,염소 ,낙동강,낙동강,동부경남,500톤 이상(Ⅳ지역),수영강,Ⅰb,17.9,1803.7,10063.9,36070551,1803.7,0.145,공기업,부산환경공단,20736,2022-01-01,2026-12-31,0,0
부산광역시,해운대구,해운대구,동부,부산광역시 해운대구 재송동 1191 ,135000,0,0,135000,77569,0,0,77569,74976.9,0,0,74976.9,149,4.1,66,3.9,138.4,3,30.981,8.319,3.344,0.094,263995,275,97.2,11234.2,BIOFOR,,0,0,0,0,2006-10-26,2006-10-27,126402,자외선 ,낙동강,수영강,동부경남,500톤 이상(Ⅳ지역),수영강,Ⅰb,1,28.4,2753.3,11899243,28.4,0.199,공기업,부산환경공단,8657,2022-01-01,2026-12-31,29,0
부산광역시,해운대구,해운대구,해운대,부산광역시 해운대구 좌동 1425 ,65000,0,65000,0,41741.2,0,41741.2,0,39446.8,0,39446.8,0,217.2,1.1,118.9,4.8,289.3,1.2,60.503,6.271,7.208,0.164,288265,76,99.5,9020.9,표준활성슬러지법,,0,0,0,0,1996-09-01,1996-09-01,13945,자외선 ,낙동강,춘천,동부경남,500톤 이상(Ⅳ지역),수영강,Ⅰb,2.1,28.4,1344.2,5745831,28.4,0.183,공기업,부산환경공단,3631,2022-01-01,2026-12-31,18,0
